priv-app/GmsCore-vtm-legacy|9|13|GmsCore|com.google.android.gms|da538490beadc760a7a8519ec5ed367f19ae8d7b
priv-app/GmsCore-vtm|14||GmsCore|com.google.android.gms|dd5ed6eadc470b7b99379832dfe40b2e4e41ab59
priv-app/GmsCore-mapbox|14||GmsCore|com.google.android.gms|2b2a6db1b977617dfa25ed0829a0d268a463e87b
priv-app/GoogleServicesFramework|10||GoogleServicesFramework|com.google.android.gsf|f9907df2e2c8fd20cd2e928821641fa01fca09ce
priv-app/FakeStore|9||Phonesky|com.android.vending|aabe0cfc0b12072bba877e75796ebcb9c6f9e062
priv-app/FDroidPrivilegedExtension|8||FDroidPrivilegedExtension|org.fdroid.fdroid.privileged|cb05a14c986f7c470c0eeb2b3f57c27fe2a72a23
app/LegacyNetworkLocation|9|18|NetworkLocation|com.google.android.location|8121295640985fad6c5b98890a156aafd18c2053
app/NewPipeLegacy|16|18|NewPipe|org.schabi.newpipelegacy|95413ee2bf576e4c7b0bdc9e9e79fd2187d444a9
app/NewPipeOld|19|20|NewPipe|org.schabi.newpipe|d5281149bdeac2ac41f570fda71eb91504cd9c3e
app/NewPipe|21||NewPipe|org.schabi.newpipe|93c128ae9d401efecc9136302f7cd62a502b397d
